Day,Time,Weather,City,Temperature,Traffic Congestion,Number of Vehicles
6,evening,rainy,Palakkad,31.18966951,3,54
3,noon,cloudy,Malappuram,33.5990106,3,53
4,night,rainy,Kollam,21.64401194,2,26
6,noon,cloudy,Thrissur,33.38911066,4,76
2,morning,sunny,Thrissur,28.5836631,1,15
4,night,rainy,Kasaragod,18.2154058,2,26
4,evening,foggy,Kozhikode,27.10082453,3,56
6,noon,sunny,Thrissur,39.73094027,5,97
1,night,foggy,Kochi,25.41308511,3,46
2,morning,sunny,Alappuzha,27.07530795,1,19
6,evening,cloudy,Thiruvananthapuram,22.9726559,2,23
2,noon,rainy,Guruvayur,30.59866447,3,38
2,noon,sunny,Thiruvananthapuram,36.77431584,4,61
4,night,cloudy,Alappuzha,25.03801358,2,27
3,evening,rainy,Kottayam,25.44002903,2,24
2,evening,rainy,Kochi,24.96885358,2,28
5,evening,sunny,Kollam,37.14241163,4,62
4,evening,rainy,Thrissur,19.96418843,2,28
1,morning,sunny,Kottayam,40.69485078,2,29
3,evening,rainy,Kochi,21.25926556,2,28
5,noon,foggy,Kasaragod,33.02540302,4,74
5,noon,cloudy,Thiruvananthapuram,21.00771279,2,21
1,morning,foggy,Kottayam,27.56033611,1,13
3,noon,sunny,Palakkad,31.97906691,4,80
4,noon,foggy,Thrissur,30.46440019,4,62
0,evening,sunny,Thrissur,27.23651645,3,39
3,noon,rainy,Kollam,29.43223335,2,28
1,morning,rainy,Kozhikode,19.70227363,5,84
5,evening,sunny,Palakkad,37.50964285,4,64
4,night,foggy,Thrissur,34.879771,4,71
3,evening,rainy,Malappuram,25.55190826,2,21
0,morning,cloudy,Palakkad,33.32860832,1,10
0,evening,rainy,Thrissur,27.25162531,2,25
2,evening,cloudy,Alappuzha,26.77760036,2,25
2,morning,foggy,Palakkad,34.97576007,2,29
6,evening,cloudy,Kochi,25.74351709,2,26
1,morning,cloudy,Palakkad,30.44421341,1,19
3,morning,cloudy,Guruvayur,33.40535537,1,12
3,night,cloudy,Kollam,27.17584427,2,25
6,noon,rainy,Kasaragod,21.14704933,3,47
5,noon,cloudy,Kasaragod,28.54247598,2,23
5,evening,rainy,Kasaragod,29.9053794,2,22
6,evening,cloudy,Kochi,36.54226378,3,46
5,night,sunny,Kottayam,35.26641802,4,71
2,night,foggy,Kasaragod,32.47009039,4,75
3,night,cloudy,Guruvayur,36.08924538,3,40
6,morning,sunny,Thiruvananthapuram,27.67529647,4,68
3,night,cloudy,Kochi,24.67892963,2,24
0,night,cloudy,Kottayam,32.78489391,3,57
2,evening,cloudy,Thiruvananthapuram,34.73724966,3,38
4,night,sunny,Thiruvananthapuram,40.56949348,4,66
2,morning,foggy,Thiruvananthapuram,28.28198691,1,15
6,morning,sunny,Malappuram,27.51877834,4,73
4,evening,foggy,Kollam,28.66745002,3,49
0,night,cloudy,Kollam,24.65608184,2,23
6,night,rainy,Kochi,20.95033973,3,38
1,morning,cloudy,Guruvayur,33.86214227,1,15
3,night,foggy,Guruvayur,22.50912536,3,49
