Day,Time,Weather,City,Temperature,Traffic Congestion,Number of Vehicles
6,evening,rainy,Palakkad,31.189669513686404,3,54
3,noon,cloudy,Malappuram,33.599010595520305,3,53
4,night,rainy,Kollam,21.644011936000545,2,26
6,noon,cloudy,Thrissur,33.389110659417966,4,76
2,morning,sunny,Thrissur,28.58366310205887,4,63
4,night,rainy,Kasaragod,18.215405797551945,2,26
4,evening,foggy,Kozhikode,27.1008245316145,3,56
6,noon,sunny,Thrissur,39.73094027374897,5,97
1,night,foggy,Kochi,25.413085105118927,3,46
2,morning,sunny,Alappuzha,27.07530795127755,4,79
6,evening,cloudy,Thiruvananthapuram,22.972655904687592,2,23
2,noon,rainy,Guruvayur,30.598664465002862,3,38
2,noon,sunny,Thiruvananthapuram,36.77431584070389,4,61
4,night,cloudy,Alappuzha,25.03801358346916,2,27
3,evening,rainy,Kottayam,25.440029030579083,2,24
2,evening,rainy,Kochi,24.968853581230956,2,28
5,evening,sunny,Kollam,37.14241163349124,4,62
4,evening,rainy,Thrissur,19.964188425167478,2,28
1,morning,sunny,Kottayam,40.69485078230476,5,101
3,evening,rainy,Kochi,21.25926555536022,2,28
5,noon,foggy,Kasaragod,33.02540301959582,4,74
5,noon,cloudy,Thiruvananthapuram,21.00771279450721,2,21
1,morning,foggy,Kottayam,27.5603361102003,4,70
3,noon,sunny,Palakkad,31.97906690529974,4,80
4,noon,foggy,Thrissur,30.464400187911043,4,62
0,evening,sunny,Thrissur,27.236516450212342,3,39
3,noon,rainy,Kollam,29.43223335334384,2,28
1,morning,rainy,Kozhikode,19.702273630048666,3,55
5,evening,sunny,Palakkad,37.509642852994176,4,64
4,night,foggy,Thrissur,34.87977099714938,4,71
3,evening,rainy,Malappuram,25.551908256105722,2,21
0,morning,cloudy,Palakkad,33.32860832045331,4,70
0,evening,rainy,Thrissur,27.25162530765509,2,25
2,evening,cloudy,Alappuzha,26.777600357763685,2,25
2,morning,foggy,Palakkad,34.975760065570405,5,100
6,evening,cloudy,Kochi,25.743517094233532,2,26
1,morning,cloudy,Palakkad,30.444213407955345,4,61
3,morning,cloudy,Guruvayur,33.40535537158573,4,80
3,night,cloudy,Kollam,27.175844272992187,2,25
6,noon,rainy,Kasaragod,21.147049329496227,3,47
5,noon,cloudy,Kasaragod,28.54247597911754,2,23
5,evening,rainy,Kasaragod,29.905379403935612,2,22
6,evening,cloudy,Kochi,36.542263779655855,3,46
5,night,sunny,Kottayam,35.26641801861813,4,71
2,night,foggy,Kasaragod,32.47009039250188,4,75
3,night,cloudy,Guruvayur,36.089245384241096,3,40
6,morning,sunny,Thiruvananthapuram,27.67529647402002,4,68
3,night,cloudy,Kochi,24.67892962990436,2,24
0,night,cloudy,Kottayam,32.784893912456454,3,57
2,evening,cloudy,Thiruvananthapuram,34.737249658688654,3,38
4,night,sunny,Thiruvananthapuram,40.56949348161982,4,66
2,morning,foggy,Thiruvananthapuram,28.28198690853365,4,75
6,morning,sunny,Malappuram,27.518778338961738,4,73
4,evening,foggy,Kollam,28.667450016093333,3,49
0,night,cloudy,Kollam,24.65608183969947,2,23
6,night,rainy,Kochi,20.95033973494261,3,38
1,morning,cloudy,Guruvayur,33.86214227241715,4,61
3,night,foggy,Guruvayur,22.509125364439875,3,49
0,night,sunny,Guruvayur,40.068880697171934,4,65
3,night,cloudy,Thiruvananthapuram,28.00396826519043,2,25
5,noon,sunny,Kannur,36.13308682871012,4,61
1,evening,sunny,Alappuzha,27.524087931006544,3,38
1,noon,sunny,Palakkad,31.735104332073753,4,64
0,evening,cloudy,Kottayam,22.258509429431935,2,24
1,morning,sunny,Kollam,42.34624328897886,5,108
4,night,sunny,Kannur,39.72344803854626,4,66
1,evening,cloudy,Kasaragod,28.54735063023938,2,26
3,noon,sunny,Kochi,29.801243321502408,3,59
3,night,cloudy,Kottayam,36.60233059542704,3,46
6,morning,foggy,Kochi,27.083307029358316,4,64
3,evening,foggy,Alappuzha,23.961900240685168,3,55
6,evening,foggy,Malappuram,30.79895950571703,4,74
3,evening,sunny,Malappuram,42.04416004586187,4,63
4,night,rainy,Thiruvananthapuram,16.065114938505484,2,26
6,noon,rainy,Malappuram,20.048122335317977,3,45
2,noon,sunny,Kochi,41.95360988697693,4,61
5,evening,rainy,Kasaragod,18.908461436571756,2,23
0,morning,cloudy,Thiruvananthapuram,22.658732484056493,3,52
3,morning,rainy,Thrissur,25.693182668596677,3,57
1,noon,sunny,Guruvayur,40.65134499601211,4,75
3,morning,sunny,Kottayam,34.11086690079674,5,101
1,noon,cloudy,Alappuzha,37.64118616981648,3,35
5,evening,foggy,Thiruvananthapuram,32.771083794145675,4,73
5,noon,sunny,Kochi,27.25927342257761,3,37
5,noon,cloudy,Kottayam,37.611740044773136,3,33
1,evening,rainy,Kasaragod,22.93420202526324,2,28
3,morning,rainy,Kozhikode,20.885843075373202,3,44
5,noon,cloudy,Alappuzha,30.21753992700361,3,46
4,noon,cloudy,Kochi,25.90682286713425,2,26
6,evening,sunny,Alappuzha,27.46977762104259,3,32
1,morning,rainy,Kollam,16.024281832346006,3,44
1,noon,cloudy,Kozhikode,28.376510805824015,2,22
3,evening,rainy,Kottayam,30.226678177852065,3,37
